shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
nbend_all,42.39019,-124.42222,381,57.518
nbend_all,42.39097,-124.4221,382,57.605
nbend_all,42.39399,-124.42271,383,57.945
nbend_all,42.39496,-124.42278,384,58.053
nbend_all,42.409803,-124.420577,385,59.713
nbend_all,42.409854,-124.421105,386,59.757
nbend_all,42.409956,-124.421144,387,59.769
nbend_all,42.410261,-124.421098,388,59.803
nbend_all,42.410255,-124.420532,389,59.849
nbend_all,42.41171,-124.42055,390,60.011
nbend_all,42.41441,-124.42074,391,60.312
nbend_all,42.41499,-124.42069,392,60.377
nbend_all,42.41611,-124.42021,393,60.507
nbend_all,42.41883,-124.4187,394,60.834
nbend_all,42.42028,-124.41771,395,61.015
nbend_all,42.4218,-124.4168,396,61.199
nbend_all,42.42228,-124.41639,397,61.262
nbend_all,42.42266,-124.41596,398,61.317
nbend_all,42.42309,-124.41516,399,61.399
nbend_all,42.42352,-124.41402,400,61.504
nbend_all,42.4238,-124.4136,401,61.55
nbend_all,42.42412,-124.41337,402,61.591
nbend_all,42.42462,-124.41329,403,61.647
nbend_all,42.4292,-124.41324,404,62.156
nbend_all,42.42943,-124.41329,405,62.182
nbend_all,42.42979,-124.41354,406,62.227
nbend_all,42.43003,-124.41387,407,62.265
nbend_all,42.43017,-124.41423,408,62.298
nbend_all,42.43025,-124.41481,409,62.347
nbend_all,42.43034,-124.4182,410,62.625
nbend_all,42.43031,-124.41892,411,62.684
nbend_all,42.43021,-124.41947,412,62.731
nbend_all,42.42907,-124.42434,413,63.15
nbend_all,42.42889,-124.42527,414,63.229
nbend_all,42.42883,-124.42587,415,63.279
nbend_all,42.42883,-124.42646,416,63.327
nbend_all,42.42891,-124.42723,417,63.391
nbend_all,42.42908,-124.42798,418,63.455
nbend_all,42.42935,-124.42867,419,63.519
nbend_all,42.4297,-124.42931,420,63.585
nbend_all,42.43025,-124.42998,421,63.667
nbend_all,42.43063,-124.43031,422,63.717
nbend_all,42.43132,-124.43073,423,63.801
nbend_all,42.43177,-124.43086,424,63.852
nbend_all,42.43228,-124.43093,425,63.909
nbend_all,42.43306,-124.43077,426,63.997
nbend_all,42.43388,-124.43047,427,64.092
nbend_all,42.44755,-124.42432,428,65.693
nbend_all,42.45176,-124.42236,429,66.188
nbend_all,42.4562,-124.42037,430,66.708
nbend_all,42.45842,-124.41942,431,66.967
nbend_all,42.4597,-124.41902,432,67.113
nbend_all,42.46057,-124.41883,433,67.211
nbend_all,42.46163,-124.41869,434,67.329
nbend_all,42.46383,-124.41867,435,67.574
nbend_all,42.47127,-124.41842,436,68.402
nbend_all,42.47821,-124.41826,437,69.173
nbend_all,42.4797,-124.4182,438,69.339
nbend_all,42.48231,-124.41792,439,69.63
nbend_all,42.48486,-124.41729,440,69.919
nbend_all,42.48667,-124.41666,441,70.126
nbend_all,42.50303,-124.41007,442,72.024
nbend_all,42.50516,-124.40992,443,72.261
nbend_all,42.50712,-124.40994,444,72.479
nbend_all,42.50885,-124.41009,445,72.672
nbend_all,42.50896,-124.41002,446,72.685
nbend_all,42.50927,-124.41001,447,72.72
nbend_all,42.51021,-124.41022,448,72.826
nbend_all,42.51103,-124.41031,449,72.917
nbend_all,42.51168,-124.41031,450,72.99
nbend_all,42.51221,-124.41023,451,73.049
nbend_all,42.51292,-124.41001,452,73.13
nbend_all,42.51806,-124.40767,453,73.733
nbend_all,42.53313,-124.40062,454,75.505
nbend_all,42.53917,-124.39786,455,76.214
nbend_all,42.54031,-124.39742,456,76.346
nbend_all,42.54212,-124.39682,457,76.553
nbend_all,42.54925,-124.39504,458,77.359
nbend_all,42.55039,-124.39466,459,77.489
nbend_all,42.55102,-124.39439,460,77.563
nbend_all,42.55233,-124.39366,461,77.72
nbend_all,42.55359,-124.39271,462,77.881
nbend_all,42.56217,-124.38537,463,79.008
nbend_all,42.56281,-124.38494,464,79.088
nbend_all,42.56325,-124.38473,465,79.14
nbend_all,42.56367,-124.38461,466,79.187
nbend_all,42.56429,-124.38453,467,79.257
nbend_all,42.56465,-124.38455,468,79.297
nbend_all,42.56501,-124.38461,469,79.337
nbend_all,42.56571,-124.38486,470,79.417
nbend_all,42.57075,-124.38755,471,80.02
nbend_all,42.57137,-124.38782,472,80.092
nbend_all,42.57207,-124.38795,473,80.171
nbend_all,42.57351,-124.38793,474,80.331
nbend_all,42.57387,-124.38798,475,80.371
nbend_all,42.57421,-124.38814,476,80.411
nbend_all,42.57452,-124.38838,477,80.451
nbend_all,42.57567,-124.38956,478,80.611
nbend_all,42.57599,-124.38979,479,80.651
nbend_all,42.57634,-124.38992,480,80.692
nbend_all,42.57778,-124.39002,481,80.852
nbend_all,42.57848,-124.39027,482,80.932
nbend_all,42.5791,-124.39076,483,81.012
nbend_all,42.58023,-124.39197,484,81.172
nbend_all,42.58056,-124.39217,485,81.212
nbend_all,42.58091,-124.39228,486,81.252
nbend_all,42.58127,-124.39231,487,81.292
nbend_all,42.58199,-124.39226,488,81.373
nbend_all,42.58271,-124.3923,489,81.453
nbend_all,42.58334,-124.39251,490,81.525
nbend_all,42.58409,-124.3929,491,81.614
nbend_all,42.58479,-124.39311,492,81.694
nbend_all,42.58525,-124.39311,493,81.745
nbend_all,42.58674,-124.39274,494,81.913
nbend_all,42.58729,-124.39277,495,81.975
nbend_all,42.58764,-124.39288,496,82.015
nbend_all,42.58863,-124.39349,497,82.135
nbend_all,42.59067,-124.39451,498,82.377
nbend_all,42.59161,-124.39522,499,82.497
nbend_all,42.59214,-124.3959,500,82.578
nbend_all,42.59373,-124.39856,501,82.858
nbend_all,42.59421,-124.39897,502,82.921
nbend_all,42.59463,-124.39911,503,82.969
nbend_all,42.59507,-124.3991,504,83.018
nbend_all,42.59648,-124.39866,505,83.179
nbend_all,42.59684,-124.39859,506,83.22
nbend_all,42.59756,-124.39858,507,83.3
nbend_all,42.59936,-124.39878,508,83.501
nbend_all,42.59972,-124.39873,509,83.541
nbend_all,42.60007,-124.39861,510,83.581
nbend_all,42.60074,-124.39822,511,83.662
nbend_all,42.60146,-124.39767,512,83.754
nbend_all,42.60292,-124.39643,513,83.945
nbend_all,42.6036,-124.39574,514,84.04
nbend_all,42.60401,-124.39505,515,84.112
nbend_all,42.60466,-124.39341,516,84.265
nbend_all,42.60487,-124.39301,517,84.305
nbend_all,42.60511,-124.39265,518,84.345
nbend_all,42.6057,-124.39209,519,84.425
nbend_all,42.60603,-124.39191,520,84.464
nbend_all,42.60673,-124.39173,521,84.543
nbend_all,42.60994,-124.3916,522,84.901
nbend_all,42.61072,-124.3917,523,84.988
nbend_all,42.61141,-124.39197,524,85.067
nbend_all,42.61239,-124.39264,525,85.189
nbend_all,42.61339,-124.39383,526,85.337
nbend_all,42.61426,-124.39497,527,85.472
nbend_all,42.61484,-124.39563,528,85.556
nbend_all,42.61545,-124.39614,529,85.635
nbend_all,42.6161,-124.39652,530,85.714
nbend_all,42.6168,-124.39672,531,85.794
nbend_all,42.6186,-124.39679,532,85.994
nbend_all,42.6193,-124.39695,533,86.073
nbend_all,42.61997,-124.39731,534,86.153
nbend_all,42.62159,-124.39836,535,86.352
nbend_all,42.62227,-124.39865,536,86.432
nbend_all,42.62263,-124.39874,537,86.472
nbend_all,42.62334,-124.39879,538,86.551
nbend_all,42.62477,-124.39861,539,86.711
nbend_all,42.62513,-124.39865,540,86.751
nbend_all,42.62618,-124.39893,541,86.87
nbend_all,42.62654,-124.39895,542,86.91
nbend_all,42.6276,-124.39879,543,87.029
nbend_all,42.62834,-124.39879,544,87.111
nbend_all,42.62907,-124.39901,545,87.194
nbend_all,42.62974,-124.39943,546,87.276
nbend_all,42.63003,-124.3997,547,87.316
nbend_all,42.63035,-124.3999,548,87.355
nbend_all,42.63105,-124.40014,549,87.435
nbend_all,42.63141,-124.40016,550,87.475
nbend_all,42.63286,-124.40001,551,87.637
nbend_all,42.63322,-124.40007,552,87.677
nbend_all,42.63356,-124.40022,553,87.717
nbend_all,42.63388,-124.40046,554,87.757
nbend_all,42.63501,-124.40168,555,87.918
nbend_all,42.63533,-124.40192,556,87.959
nbend_all,42.63567,-124.40209,557,87.999
nbend_all,42.63744,-124.40272,558,88.202
nbend_all,42.63813,-124.40303,559,88.283
nbend_all,42.63974,-124.40405,560,88.481
nbend_all,42.6418,-124.40576,561,88.749
nbend_all,42.64251,-124.40645,562,88.846
nbend_all,42.64405,-124.40774,563,89.047
nbend_all,42.64495,-124.40856,564,89.168
nbend_all,42.64562,-124.40893,565,89.248
nbend_all,42.64597,-124.40899,566,89.287
nbend_all,42.64633,-124.40897,567,89.327
nbend_all,42.64774,-124.40856,568,89.488
nbend_all,42.64914,-124.40807,569,89.648
nbend_all,42.64986,-124.40789,570,89.73
nbend_all,42.65022,-124.40787,571,89.77
nbend_all,42.65058,-124.40793,572,89.81
nbend_all,42.65161,-124.4084,573,89.931
nbend_all,42.65464,-124.41002,574,90.293
nbend_all,42.65532,-124.41033,575,90.373
nbend_all,42.65602,-124.41049,576,90.452
nbend_all,42.65817,-124.41074,577,90.692
nbend_all,42.65928,-124.41107,578,90.818
nbend_all,42.66143,-124.41186,579,91.066
nbend_all,42.66226,-124.41229,580,91.164
nbend_all,42.66377,-124.41326,581,91.35
nbend_all,42.66498,-124.41424,582,91.507
nbend_all,42.66922,-124.41788,583,92.064
nbend_all,42.66989,-124.41841,584,92.15
nbend_all,42.67084,-124.41909,585,92.27
nbend_all,42.67184,-124.41961,586,92.389
nbend_all,42.67289,-124.41993,587,92.509
nbend_all,42.67406,-124.42009,588,92.639
nbend_all,42.68135,-124.41906,589,93.454
nbend_all,42.682,-124.41908,590,93.527
nbend_all,42.68233,-124.41916,591,93.564
nbend_all,42.68296,-124.41951,592,93.64
nbend_all,42.68356,-124.42008,593,93.721
nbend_all,42.68381,-124.42044,594,93.761
nbend_all,42.68413,-124.42124,595,93.836
nbend_all,42.68427,-124.42188,596,93.89
nbend_all,42.68432,-124.42244,597,93.936
nbend_all,42.68431,-124.42324,598,94.002
nbend_all,42.68403,-124.42609,599,94.237
nbend_all,42.68404,-124.42629,600,94.253
nbend_all,42.68414,-124.42666,601,94.286
